 ,Branch_ID,Node_ID,X,Y
360,4,2,2024.377,1034.000
361,4,3,2014.566,1034.000
362,4,4,2004.788,1033.193
363,4,5,1995.152,1031.348
364,4,6,1985.515,1029.503
365,4,7,1975.879,1027.658
366,4,8,1966.243,1025.812
367,4,9,1956.951,1022.662
368,4,10,1948.047,1018.540
369,4,11,1939.144,1014.419
370,4,12,1930.240,1010.297
371,4,13,1921.337,1006.175
372,4,14,1912.434,1002.053
373,4,15,1903.141,998.903
374,4,16,1893.571,996.742
375,4,17,1884.001,994.581
376,4,18,1874.430,992.420
377,4,19,1864.860,990.259
378,4,20,1855.290,988.098
379,4,21,1845.742,985.837
380,4,22,1837.422,980.638
381,4,23,1829.101,975.438
382,4,24,1820.781,970.238
383,4,25,1812.462,965.038
384,4,26,1804.139,959.842
385,4,27,1795.809,954.659
386,4,28,1787.478,949.475
387,4,29,1779.148,944.292
388,4,30,1770.818,939.109
389,4,31,1762.487,933.925
390,4,32,1753.901,929.178
391,4,33,1745.263,924.526
392,4,34,1736.624,919.874
393,4,35,1727.985,915.223
394,4,36,1718.913,911.487
395,4,37,1709.236,909.873
396,4,38,1699.558,908.260
397,4,39,1689.880,906.647
398,4,40,1680.069,906.528
399,4,41,1670.296,907.396
400,4,42,1660.524,908.265
401,4,43,1650.751,909.133
402,4,44,1641.000,910.000
403,5,0,2045.000,908.000
404,5,1,2037.810,901.409
405,5,2,2030.620,894.818
406,5,3,2023.430,888.227
407,5,4,2016.240,881.636
408,5,5,2009.049,875.045
409,5,6,2001.859,868.454
410,5,7,1994.669,861.863
411,5,8,1987.479,855.273
412,5,9,1980.201,848.779
413,5,10,1972.888,842.325
414,5,11,1965.570,835.876
415,5,12,1958.253,829.426
416,5,13,1950.935,822.977
417,5,14,1943.618,816.528
418,5,15,1936.301,810.078
419,5,16,1928.983,803.629
420,5,17,1921.492,797.382
421,5,18,1913.903,791.255
422,5,19,1906.307,785.136
423,5,20,1898.711,779.017
424,5,21,1890.780,773.340
425,5,22,1882.004,769.083
426,5,23,1872.841,765.739
427,5,24,1863.678,762.396
428,5,25,1854.515,759.053
429,5,26,1845.352,755.710
430,5,27,1836.189,752.366
431,5,28,1827.026,749.023
432,5,29,1818.089,745.115
433,5,30,1809.975,739.702
434,5,31,1802.650,733.261
435,5,32,1795.325,726.820
436,5,33,1788.000,720.380
437,5,34,1780.676,713.939
438,5,35,1773.351,707.498
439,5,36,1766.026,701.057
440,5,37,1758.562,694.778
441,5,38,1750.637,689.091
442,5,39,1742.521,683.681
443,5,40,1734.406,678.271
444,5,41,1726.290,672.860
445,5,42,1718.248,667.341
446,5,43,1710.733,661.123
447,5,44,1703.576,654.496
448,5,45,1696.419,647.869
449,5,46,1689.175,641.337
450,5,47,1680.658,636.584
451,5,48,1672.038,632.020
452,5,49,1663.417,627.456
453,5,50,1654.797,622.893
454,5,51,1646.177,618.329
455,5,52,1637.556,613.765
456,5,53,1628.936,609.201
457,5,54,1620.287,604.692
458,5,55,1611.521,600.414
459,5,56,1602.741,596.165
460,5,57,1593.961,591.917
461,5,58,1587.013,585.071
462,5,59,1581.397,577.096
463,5,60,1575.987,568.980
464,5,61,1570.576,560.865
465,5,62,1565.166,552.749
466,5,63,1559.755,544.633
467,5,64,1555.151,536.035
468,5,65,1550.919,527.247
469,5,66,1546.698,518.453
470,5,67,1542.477,509.660
471,5,68,1538.256,500.867
472,5,69,1535.280,491.578
473,5,70,1534.924,481.831
474,5,71,1535.807,472.117
475,5,72,1536.691,462.403
476,5,73,1537.593,452.691
477,5,74,1541.260,443.653
478,5,75,1547.113,435.850
479,5,76,1552.965,428.047
480,5,77,1558.817,420.244
481,5,78,1564.292,412.171
482,5,79,1569.314,403.810
483,5,80,1574.333,395.446
484,5,81,1580.106,387.584
485,5,82,1587.510,381.234
486,5,83,1595.745,376.008
487,5,84,1603.981,370.781
488,5,85,1612.216,365.555
489,5,86,1620.452,360.329
490,5,87,1628.284,354.515
491,5,88,1633.997,346.610
492,5,89,1636.906,337.300
493,5,90,1638.531,327.682
494,5,91,1636.747,318.093
495,5,92,1636.132,308.358
496,5,93,1638.036,298.792
497,5,94,1643.514,290.722
498,5,95,1644.000,281.000
499,6,0,1601.000,585.000
500,6,1,1591.960,588.616
501,6,2,1582.921,592.232
502,6,3,1573.881,595.848
503,6,4,1564.842,599.463
504,6,5,1555.257,601.174
505,6,6,1545.526,601.469
506,6,7,1535.794,601.764
507,6,8,1526.170,600.291
508,6,9,1519.052,593.649
509,6,10,1511.935,587.006
510,6,11,1504.817,580.363
511,6,12,1497.690,573.729
512,6,13,1490.363,567.318
513,6,14,1483.036,560.907
514,6,15,1475.709,554.496
515,6,16,1468.382,548.084
516,6,17,1461.055,541.673
517,6,18,1453.728,535.262
518,6,19,1446.401,528.851
519,6,20,1439.074,522.440
520,6,21,1431.784,515.986
521,6,22,1424.580,509.437
522,6,23,1417.376,502.888
523,6,24,1410.307,496.194
524,6,25,1403.648,489.091
525,6,26,1397.000,482.000
526,7,0,1898.000,784.000
527,7,1,1897.547,774.035
528,7,2,1897.094,764.071
529,7,3,1896.641,754.106
530,7,4,1896.188,744.142
531,7,5,1896.624,734.176
532,7,6,1897.687,724.258
533,7,7,1898.749,714.340
534,7,8,1899.812,704.422
535,7,9,1900.875,694.504
536,7,10,1901.937,684.586
537,7,11,1904.843,675.044
538,7,12,1907.862,665.536
539,7,13,1910.880,656.029
540,7,14,1913.898,646.522
541,7,15,1916.916,637.014
542,7,16,1919.934,627.507
543,7,17,1922.667,617.914
544,7,18,1924.775,608.164
545,7,19,1926.883,598.415
546,7,20,1928.991,588.665
547,7,21,1932.217,579.226
548,7,22,1936.417,570.179
549,7,23,1940.618,561.131
550,7,24,1944.818,552.084
551,7,25,1949.019,543.037
552,7,26,1953.219,533.990
553,7,27,1957.954,525.210
554,7,28,1963.674,517.038
555,7,29,1969.394,508.866
556,7,30,1975.114,500.694
557,7,31,1980.000,491.998
558,7,32,1984.462,483.077
559,7,33,1988.923,474.155
560,7,34,1992.908,465.011
561,7,35,1995.814,455.469
562,7,36,1998.718,445.926
563,7,37,2001.622,436.383
564,7,38,2004.527,426.841
565,7,39,2006.940,417.162
566,7,40,2008.845,407.371
567,7,41,2010.748,397.579
568,7,42,2012.652,387.788
569,7,43,2017.856,379.278
570,7,44,2023.696,371.191
571,7,45,2025.997,361.485
572,7,46,2026.000,351.510
573,7,47,2026.000,341.535
574,7,48,2026.000,331.560
575,7,49,2026.000,321.586
576,7,50,2026.654,311.632
577,7,51,2027.348,301.681
578,7,52,2028.042,291.731
579,7,53,2028.736,281.780
580,7,54,2029.846,271.867
581,7,55,2031.209,261.986
582,7,56,2032.572,252.104
583,7,57,2031.485,242.189
584,7,58,2029.323,232.451
585,7,59,2027.159,222.714
586,7,60,2025.000,213.000
587,8,0,2045.000,448.000
588,8,1,2039.194,439.961
589,8,2,2033.388,431.922
590,8,3,2029.482,422.807
591,8,4,2026.206,413.447
592,8,5,2022.930,404.087
593,8,6,2019.654,394.727
594,8,7,2015.111,385.913
595,8,8,2009.386,377.815
596,8,9,2003.662,369.717
597,8,10,1997.938,361.620
598,8,11,1992.214,353.522
599,8,12,1986.490,345.424
600,8,13,1980.765,337.327
601,8,14,1975.276,329.068
602,8,15,1970.248,320.521
603,8,16,1965.220,311.973
604,8,17,1960.192,303.426
605,8,18,1955.164,294.879
606,8,19,1950.136,286.331
607,8,20,1945.108,277.784
608,8,21,1940.080,269.236
609,8,22,1934.229,261.229
610,8,23,1927.217,254.217
611,8,24,1920.205,247.205
612,8,25,1913.193,240.193
613,8,26,1906.181,233.181
614,8,27,1899.169,226.169
615,8,28,1892.499,218.831
616,8,29,1886.854,210.678
617,8,30,1881.209,202.524
618,8,31,1875.565,194.371
619,8,32,1869.920,186.218
620,8,33,1864.275,178.064
621,8,34,1858.631,169.911
622,8,35,1852.715,161.953
623,8,36,1846.765,154.019
624,8,37,1840.815,146.086
625,8,38,1834.864,138.153
626,8,39,1827.601,131.401
627,8,40,1820.138,124.871
628,8,41,1812.675,118.341
629,8,42,1805.212,111.811
630,8,43,1797.750,105.280
631,8,44,1791.425,97.642
632,8,45,1786.380,89.105
633,8,46,1781.335,80.567
634,8,47,1776.291,72.030
635,8,48,1771.246,63.492
636,8,49,1767.571,54.282
637,8,50,1766.434,44.431
638,8,51,1765.293,34.580
639,8,52,1759.035,26.887
640,8,53,1751.506,20.434
641,8,54,1744.000,14.000
642,9,0,2045.167,797.167
643,9,1,2036.202,794.029
644,9,2,2027.237,790.891
645,9,3,2019.773,785.016
646,9,4,2014.417,777.172
647,9,5,2011.805,768.040
648,9,6,2009.609,758.799
649,9,7,2005.566,750.205
650,9,8,1999.530,742.871
651,9,9,1992.960,736.011
652,9,10,1986.596,728.960
653,9,11,1980.421,721.743
654,9,12,1975.907,713.386
655,9,13,1973.082,704.317
656,9,14,1969.301,695.604
657,9,15,1964.250,687.560
658,9,16,1959.308,679.449
659,9,17,1956.188,670.478
660,9,18,1956.907,661.007
661,9,19,1957.848,651.555
662,9,20,1953.760,642.982
663,9,21,1947.577,635.772
664,9,22,1941.910,628.149
665,9,23,1937.244,619.876
666,9,24,1933.943,610.970
667,9,25,1934.500,601.500
668,10,0,1800.167,738.167
669,10,1,1801.254,728.504
670,10,2,1802.341,718.840
671,10,3,1804.776,709.426
672,10,4,1810.737,701.743
673,10,5,1816.698,694.060
674,10,6,1822.345,686.144
675,10,7,1827.889,678.155
676,10,8,1830.239,668.719
677,10,9,1831.244,659.047
678,10,10,1832.205,649.371
679,10,11,1832.682,639.658
680,10,12,1833.158,629.946
681,10,13,1833.634,620.233
682,10,14,1835.256,610.645
683,10,15,1837.681,601.228
684,10,16,1839.498,591.676
685,10,17,1839.500,581.952
686,10,18,1836.352,572.751
687,10,19,1829.632,565.722
688,10,20,1820.523,562.319
689,10,21,1811.412,558.920
690,10,22,1802.616,554.773
691,10,23,1793.989,550.288
692,10,24,1786.663,543.892
693,10,25,1779.855,536.949
694,10,26,1772.947,530.106
695,10,27,1765.833,523.500
696,11,0,1819.000,1163.000
697,11,1,1812.159,1170.094
698,11,2,1805.319,1177.188
699,11,3,1798.478,1184.282
700,11,4,1791.568,1191.308
701,11,5,1783.549,1197.036
702,11,6,1775.530,1202.765
703,11,7,1767.510,1208.493
704,11,8,1759.491,1214.221
705,11,9,1751.472,1219.949
706,11,10,1742.620,1224.280
707,11,11,1733.615,1228.282
708,11,12,1724.609,1232.285
709,11,13,1715.604,1236.287
710,11,14,1705.774,1237.000
711,11,15,1695.920,1237.000
712,11,16,1686.065,1237.000
713,11,17,1676.210,1237.100
714,11,18,1666.370,1237.646
715,11,19,1656.531,1238.193
716,11,20,1646.691,1238.739
717,11,21,1637.639,1242.635
718,11,22,1630.068,1248.944
719,11,23,1623.198,1256.009
720,11,24,1619.536,1265.159
721,11,25,1615.876,1274.309
722,11,26,1612.217,1283.459
723,11,27,1607.495,1292.109
724,11,28,1602.709,1300.724
725,11,29,1596.745,1308.569
726,11,30,1590.589,1316.264
727,11,31,1584.064,1323.650
728,11,32,1576.567,1330.046
729,11,33,1569.069,1336.441
730,11,34,1561.571,1342.837
731,11,35,1554.073,1349.232
732,11,36,1546.954,1356.046
733,11,37,1540.000,1363.000
734,12,0,1636.000,1252.000
735,12,1,1626.619,1249.655
736,12,2,1617.239,1247.310
737,12,3,1607.790,1245.257
738,12,4,1598.268,1243.577
739,12,5,1588.746,1241.896
740,12,6,1579.224,1240.216
741,12,7,1570.285,1236.528
742,12,8,1561.468,1232.560
743,12,9,1552.650,1228.592
744,12,10,1543.832,1224.625
745,12,11,1534.635,1221.640
746,12,12,1525.021,1220.609
747,12,13,1515.407,1219.579
748,12,14,1505.795,1220.635
749,12,15,1496.784,1224.140
