Date,Condition,Dish,Cell,Mito_ID,F0,Fmax,Mito_pH
2025-07-08,TTX,3,1,1,506.0618,658.588,7.12061435048249
2025-07-08,TTX,3,1,2,416.2462,576.951,7.06626780979378
2025-07-08,TTX,3,1,3,403.2963,583.673,7.030849270011433
2025-07-08,TTX,3,1,4,666.1454,854.472,7.133581672159275
2025-07-08,TTX,3,1,5,510.5311,724.143,7.047190403927197
2025-07-08,TTX,3,1,6,627.0658,819.237,7.117167015212619
2025-07-08,TTX,3,1,7,782.8075,1052.5,7.092092011594527
2025-07-08,TTX,3,1,8,522.8344,731.469,7.058516945620964
2025-07-08,TTX,3,1,9,605.9558,801.977,7.105767481462329
2025-07-08,TTX,3,1,10,417.0883,570.176,7.077909299873007
2025-07-08,TTX,3,1,11,476.8229,707.646,7.010840411105938
2025-07-15,Control,1,1,1,987.0486,1175.838,7.203300668817273
2025-07-15,Control,1,1,2,1026.0366,1280.567,7.1586928698482515
2025-07-15,Control,1,1,3,992.0601,1403.8,7.049143734657266
2025-07-15,Control,1,1,4,1053.2581,1169.71,7.275767561781926
2025-07-15,Control,1,1,5,1512.3089,1829.971,7.188036781570452
2025-07-15,Control,1,1,6,1150.5953,1482.349,7.129640157889547
2025-07-15,Control,1,1,7,1397.9116000000001,1721.371,7.171325973988329
2025-07-15,Control,1,1,8,895.9352,1106.088,7.168893437848637
2025-07-15,Control,1,1,9,1426.1386,1771.615,7.163062290297291
2025-07-15,Control,1,1,10,1218.4999,1501.651,7.170566610036328
2025-07-15,Control,2,1,1,377.7065,618.677,6.935968563673579
2025-07-15,Control,2,1,2,575.9411,959.923,6.923320267333111
2025-07-15,Control,2,1,3,935.56,1486.5,6.95848178299568
2025-07-15,Control,2,1,4,462.1257,811.548,6.8861465380202915
2025-07-15,Control,2,1,5,621.8344999999999,927.971,7.0064944359838925
2025-07-15,Control,2,1,6,382.3667,813.056,6.759141428433866
2025-07-15,Control,2,1,7,765.6668,1223.196,6.954420925754483
2025-07-15,Control,2,1,8,674.4913,1083.435,6.950363358938372
2025-07-15,Control,3,1,1,546.5155,612.793,7.265426392375969
2025-07-15,Control,3,1,2,538.9658,608.182,7.2586556367622395
2025-07-15,Control,3,1,3,357.4675,393.757,7.284697764517773
2025-07-15,Control,3,1,4,427.4756,481.943,7.259603364662243
2025-07-15,Control,3,1,5,359.387,399.648,7.274339895183695
2025-07-15,Control,3,1,6,391.9998,423.044,7.307557250169691
2025-07-15,Control,3,1,7,435.8741,461.815,7.328758118860419
2025-07-15,Control,3,1,8,481.4,546.571,7.252171370722869
2025-07-15,Control,3,1,9,598.4127,660.145,7.283063176871089
2025-07-15,TTX,1,1,1,1107.926,1488.262,7.092882152926632
2025-07-15,TTX,1,1,2,1261.0365,1466.909,7.227106391073891
2025-07-15,TTX,1,1,3,644.8441,769.353,7.201800427260939
2025-07-15,TTX,1,1,4,719.7229,919.2,7.137510585512087
2025-07-15,TTX,1,1,5,527.81,664.475,7.150665017787961
2025-07-15,TTX,1,1,6,485.0606,602.342,7.163408375796655
2025-07-15,TTX,1,1,7,561.6125999999999,629.938,7.2650577993869065
2025-07-15,TTX,1,1,8,527.52,743.867,7.052002990225816
2025-07-15,TTX,2,1,1,406.1861,552.694,7.081860283675814
2025-07-15,TTX,2,1,2,453.805,609.692,7.092738182414308
2025-07-15,TTX,2,1,3,347.7764,490.447,7.051935494850792
2025-07-15,TTX,2,1,4,340.2366,461.367,7.084792394304148
2025-07-15,TTX,2,1,5,258.2259,419.645,6.941760719348314
2025-07-15,TTX,2,1,6,446.58,673.9,6.997796959511991
2025-07-15,TTX,2,1,7,505.2436,668.781,7.105642382077615
2025-07-15,TTX,2,1,8,321.2147,532.735,6.926895063012572
2025-07-15,TTX,2,1,9,294.9166,390.867,7.104542570669363
2025-07-15,TTX,2,1,10,308.9684,458.395,7.011082017303363
2025-07-15,TTX,2,1,11,394.1879,576,7.0231474028029135
2025-07-15,TTX,3,1,1,328.3926,393.964,7.196402727343431
2025-07-15,TTX,3,1,2,317.4518,419.722,7.106647826685507
2025-07-15,TTX,3,1,3,458.5484,569.029,7.164051323633612
2025-07-15,TTX,3,1,4,302.53790000000004,379.491,7.154026000284576
2025-07-15,TTX,3,1,5,223.5,270.891,7.1864513719089285
2025-07-15,TTX,3,1,6,235.5179,284.538,7.1895674166740005
2025-07-15,TTX,3,1,7,196.6473,222.806,7.254356133681384
2025-07-15,TTX,3,1,8,242.9181,295.591,7.182654349750779
2025-07-15,TTX,3,1,9,347.478,450.39,7.124204620719491
