Date,Condition,Dish,Cell,Spine_ID,F0,Fmax,Spine_pH
2025-07-15,Control,3,1,2,8251.3477,10971.714,7.101692735357496
2025-07-15,Control,3,1,3,6453.0667,9508.571,7.0164994983165245
2025-07-15,Control,3,1,4,4838.7762,6962.571,7.0355136848564905
2025-07-15,Control,3,1,5,4317.3286,6663.619,6.9804073961750275
2025-07-15,Control,3,1,6,9101.0572,15113,6.925987912032789
2025-07-15,Control,3,1,7,8566.3762,14996.095,6.88836086769842
2025-07-15,Control,3,1,8,7034.3429,10724.952,6.989816532762652
2025-07-15,TTX,1,1,1,8416.252199999999,21265.619,6.653913708466786
2025-07-15,TTX,1,1,2,5031.4429,10934.714,6.7454125337978805
2025-07-15,TTX,1,1,3,3151.9713,10062.81,6.521062078141103
2025-07-15,TTX,3,1,1,10063.3237,22449.095,6.729149617985103
2025-07-15,TTX,3,1,2,8028.9143,18428.238,6.711618809602436
2025-07-15,TTX,3,1,3,3530.0144,13256.381,6.433719957518394
2025-07-15,TTX,3,1,4,4880.3905,7051.476,7.032184061161236
2025-07-15,TTX,3,1,5,10299.4905,14839.286,7.034465653976053
