Epoch,Patch Type,Train Loss,Val Loss,IoU,Accuracy,Precision,Recall,F1 Score
1,Patch Type 1,1.0343012284291417,0.9866101396711249,0.4260019361972809,0.8720610737800598,0.44172120094299316,0.9229045510292053,0.597477376461029
1,Patch Type 2,0.9914421475663477,1.0338357090950012,0.3915626108646393,0.9121834635734558,0.5615199208259583,0.5640192031860352,0.5627667903900146
1,Patch Type 3,0.9750277375688359,0.9562714195251465,0.4506295919418335,0.8819237947463989,0.46313580870628357,0.9434642195701599,0.6212882995605469
2,Patch Type 1,0.9680261055105611,0.9528509692141884,0.5671322345733643,0.9279170632362366,0.5974206924438477,0.9179409742355347,0.723783552646637
2,Patch Type 2,0.9608629066116956,0.9708654904365539,0.47832217812538147,0.907978892326355,0.5254690647125244,0.8420489430427551,0.6471149921417236
2,Patch Type 3,0.9533396673445799,0.9418617081642151,0.4920542538166046,0.8980286121368408,0.501742959022522,0.962238073348999,0.6595661044120789
3,Patch Type 1,0.9582259466773585,0.9471912885967054,0.569698691368103,0.9266726970672607,0.5897787809371948,0.9436074495315552,0.7258701324462891
3,Patch Type 2,0.9498349385602134,0.9384411883354187,0.5354377031326294,0.9178529381752014,0.5526921153068542,0.9449068903923035,0.6974398493766785
3,Patch Type 3,0.9538972389941313,0.9387136602401733,0.501629650592804,0.9012908935546875,0.510137140750885,0.9678242802619934,0.668113648891449
4,Patch Type 1,0.9455367452219913,0.9411885550147608,0.5844225883483887,0.9298121929168701,0.5992510914802551,0.9593790173530579,0.7377104759216309
4,Patch Type 2,0.9475637680413772,0.9325074648857117,0.6107845306396484,0.9422871470451355,0.653221070766449,0.9038622975349426,0.758368968963623
4,Patch Type 3,0.9377977975777217,0.9326132488250732,0.5378065705299377,0.915349543094635,0.5503020882606506,0.959489643573761,0.6994463801383972
5,Patch Type 1,0.9440564960241318,0.9450396832666899,0.5733921527862549,0.9274314045906067,0.5919980406761169,0.9480360746383667,0.7288610935211182
