Date,Condition,Dish,Cell,L,F,LbyF,mito_area,date_id,cell_id_nested
2025-05-27,TTXinTTX,3,2,133.286,856.2071699175103,0.20537672173287677,1.2,1,2
2025-05-27,TTXinTTX,3,3,154.286,698.9355678178869,0.2912292025122986,1.4000000000000001,1,3
2025-05-27,TTXinTTX,3,3,215.429,947.5827076182894,0.29993875309206475,1.72,1,3
2025-05-27,TTXinTTX,3,3,126.381,637.8724734397898,0.26139270870320375,0.24,1,3
2025-05-27,TTXinTTX,3,3,173.333,949.1210473958309,0.24093793973069377,1.96,1,3
2025-05-27,TTXinTTX,3,3,229.286,967.7356506110305,0.3125837092503564,2.12,1,3
2025-05-27,TTXinTTX,3,3,246.143,839.2946577905051,0.3869176787239594,4.36,1,3
2025-05-27,TTXinTTX,3,3,338.762,1084.9758231472517,0.4119269159199372,4.5600000000000005,1,3
2025-05-27,TTXinTTX,3,3,96.238,594.4910610774685,0.2135732237280563,1.12,1,3
2025-05-27,TTXinTTX,3,4,583.619,573.95295655122,1.3415246826572536,2.8000000000000003,1,4
2025-05-27,TTXinTTX,3,4,592.619,805.4131278025374,0.9707388482442251,2.52,1,4
2025-05-27,TTXinTTX,3,4,407.286,664.9444858967358,0.8080898203247542,2.7600000000000002,1,4
2025-05-27,TTXinTTX,3,4,719.857,1144.2272745039713,0.8300026507855129,1.24,1,4
2025-05-27,TTXinTTX,3,4,653.238,895.6354872592824,0.9622450602980125,3.64,1,4
2025-05-27,TTXinTTX,3,4,334.476,541.1704054298169,0.8154108108343794,1.48,1,4
2025-05-27,TTXinTTX,3,4,346.762,479.6667969624987,0.9537562234946739,2.88,1,4
2025-05-27,TTXinTTX,3,4,299.857,576.4242175281854,0.6863055577556623,0,1,4
2025-05-27,TTXinTTX,3,4,572.095,1207.3776215037701,0.6251303336451236,1.56,1,4
2025-05-27,TTXinTTX,3,4,249.571,735.83727162698,0.4474637728711554,1.8,1,4
2025-05-27,TTXinTTX,3,4,311.571,609.5365776273824,0.6743770757596518,1.48,1,4
2025-05-27,TTXinTTX,3,4,453.381,1020.5073934145217,0.586128316965844,2.08,1,4
2025-05-27,TTXinTTX,3,4,239.238,919.4670688504923,0.3432729060216518,2.92,1,4
