Date,Condition,Cell,mean_mito_len,mean_mito
2025-03-18,Control,7,7.772454409520845,0.9261224489795918
2025-03-18,Control,12,7.185217695714114,1.1292088998763907
2025-03-18,Control,18,7.115851910640147,0.9421521035598706
2025-03-18,Control,19,4.652994224950378,0.8489944134078212
2025-03-18,Control,20,4.241234457135272,0.975171102661597
2025-03-18,TTX,37,11.938982099766259,1.2720055710306406
2025-03-18,TTX,38,6.1049349626932266,0.9712760055478502
2025-03-18,TTX,21,8.568077694210867,0.8996119929453263
2025-03-18,TTX,22,5.0077547421755,0.9590000000000001
2025-03-18,TTX,23,5.176005255754658,0.8783116883116884
2025-03-26,Control,1,4.087355697342751,1.048543046357616
2025-03-26,Control,2,4.523182727838993,1.0567772511848341
2025-03-26,Control,3,5.12416685974527,1.0068987341772153
2025-03-26,Control,4,6.065534868768048,1.1359146341463415
2025-03-26,Control,5,8.364625959661094,0.8631927710843373
2025-03-26,Control,6,4.594500187461509,1.0654655870445344
2025-03-26,Control,8,5.354454308290066,0.7770909090909092
2025-03-26,TTX,24,10.166928247151615,1.1310443037974685
2025-03-26,TTX,25,5.945726306477898,1.0928372093023255
2025-03-26,TTX,26,7.2804291855352945,0.9827743271221532
2025-03-26,TTX,27,6.126917669144069,1.193731343283582
2025-04-01,Control,9,4.183036072312181,0.8857142857142858
2025-04-01,Control,10,5.204966296126551,0.9945787545787546
2025-04-01,Control,11,6.590915660406517,0.944237668161435
2025-04-01,Control,13,6.178754979281707,0.9516140350877194
2025-04-01,Control,14,3.606346685904505,0.8536196319018405
2025-04-01,Control,15,6.241736895158551,0.9850257731958764
2025-04-01,Control,16,3.8095824467071617,0.8749337748344371
2025-04-01,Control,17,6.500043996059333,1.1349528301886793
2025-04-01,TTX,28,4.676246571688814,0.9782515991471216
2025-04-01,TTX,29,6.647084394796739,1.0393947368421053
2025-04-01,TTX,30,5.834901356986856,0.993974358974359
2025-04-01,TTX,31,5.145779760812455,1.0786764705882352
2025-04-01,TTX,32,7.076817285046488,1.2357303370786517
2025-04-01,TTX,33,9.542634885956886,1.036858006042296
2025-04-01,TTX,34,5.034761109443558,1.076776649746193
2025-04-01,TTX,35,7.2326230016129704,1.08968438538206
2025-04-01,TTX,36,8.003772240766184,1.1183333333333334
